decade,name,year,municipality
1921,"Carlström, Oscar Ludvig",1879,Helgagård
1921,"Christenson, Johan Birger",1875,
1921,"Clemedtson, Jeppe",1885,Trensum
1921,"Dahl, Peter Adolf",1868,Kristianstad
1921,"Dahlberg, Knut",1877,
1921,Jonas Petter,1881,Kiruna
1921,"Dalberg, Erik",1869,Borlänge
1921,"Danielsson, August",1876,Nils
1921,"Geer, Gerard Louis",1854,
1921,"Ekberg, Alfrida Christina",1874,Huvudsta
1921,"Ekberg, Seve Ellenis",1887,
1921,"Ekeberg, Lars Birger",1880,
1921,"Ekenstam, Carl Theodor",1858,Hösterum
1921,"Edberg, Per Jonas",1878,
1921,"Eklund, Carl Anders",1883,
1921,"Ekman, Carl Gustaf",1872,
1921,"Ekman, Karl Johan",1863,
1921,"Eliasson, Elias Reinhold",1872,Markaryd
1921,"Elisson, Anders Petter",1876,Tvååker
1921,"Elliot, Erik Holger",1887,
1921,"Elmquist, Gustaf Henning",1871,
1921,"Engberg, Jonas Arthur",1888,
1921,"Englund, Ivar Erik",1886,
1921,"Ericson, Frans Oscar",1879,
1921,"Enhörning, Erik August",1860,Kubikenborg
1921,"Ericson, Karl Oscar",1866,
1921,"Ericson, Christian",1868,Oberga
1921,"Eriesson, Aaby Arvid",1859,Gåvetorp
1921,"Ericsson, Axel Emil",1871,
1921,"Erikson, Gustaf Oskar",1876,
1921,"Ericsson, Carl Johan",1868,
1921,"Ericsson, Evald",1883,Sörsjön
1921,"Ericsson, Johan Emil",1881,Sörbo
1921,"Ericsson, Ollas Anders",1858,Ovanmyra
1921,"Erikson, Fredrik Arvid",1865,Stocksund
1921,"Eriksson, Albin",1879,Toftered
1921,"Eriksson, Johan Albert",1857,Jönköping
1921,"Eriksson, Johan Bernhard",1878,
1921,"Eriksson, Erik",1866,Böle
1921,"Eriksson, Erik Gustaf",1876,Västbro
1921,"Eriksson, Ollas Erik",1872,Östanfors
1921,"Erlansson, John",1863,
1921,"Eriksson, Valfrid",1879,
1921,"Ernfors, Oskar August",1864,
1921,Axel Herman,1862,Jönköping
1921,"Falk, Johan Ludvig",1873,Kalmar
1921,"Fast, Johan Erik",1883,Nässjö
1921,"Fager, Charly Artur",1891,Onsala
1921,"Fehr, Martin Nikolaus",1885,Stockholm
1921,"Fagerlund, Emil",1869,
1921,"Fjellman, Johannes",1877,Mathias
1921,"Flognfält, Gustaf",1872,Köla
1921,"Flyg, Nils Svante",1891,
1921,"Forsberg, Hans Gustaf",1881,
1921,"Forssberg, Johan Erik",1865,
1921,"Franzen, Karl Gustaf",1883,Karlstad
1921,"Frost, Henrik Vilhelm",1892,Bodum
1921,"Forssell, Carl Abraham",1881,Stockholm
1921,"Forssell, Carl Arne",1887,Stockholm
1921,Anders Olof,1866,Kälarne
1921,"Forsman, Per Hilding",1886,
1921,"Gabrielsson, Nils",1876,
1921,"Gardell, Arvid Lars",1887,Stenstu
1921,"Gardell, Petter Theodor",1872,Gans
1921,"Geijer, Erik Gustaf",1883,
1921,"Geijer, Knut Ebbe",1864,Per
1921,"Godin, Erik",1866,
1921,"Granath, Per",1882,Hudiksvall
1921,"Granström, Anders Josef",1866,
1921,"Grevesmihl, Carl Adolf",1877,Tillberga
1921,"Grapenson, Peter Jöran",1878,Gällivare
1921,"Gustafson, Arthur Wilhelm",1870,Kasenberg
1921,"Gustafson, Emil August",1887,Vimmerby
1921,"Gustafsson, Anders Petter",1852,Örebro
1921,"Gustafsson, Gustaf Adolf",1875,
1921,"Gustafson, Hjalmar Albin",1883,Stockholm
1921,"Gustafson, Johan Fritiof",1889,Järpås
1921,"Gärde, Johannes Natanael",1880,
1921,"Gustafsson, Per Johan",1880,Benestad
1921,"Göranson, Ernst",1887,Falla
1921,"Hage, Ernst August",1876,
1921,Harald Martin,1884,
1921,"Hallin, Eric Adolf",1870,
1921,"Hamilton, Hugo Erik",1849,Stockholm
1921,"Hamilton, Raoul Gustaf",1855,Ovesholm
1921,"Hammarlund, Nestor",1888,Errarp
1921,"Hamrin, Felix Teodor",1875,Jönköping
1921,Johan Theodor,1867,Bonsarve
1921,"Hansson, Anders Emil",1882,
1921,"Hansson, Axel Hugo",1879,Trollhättan
1921,"Hansson, Eskils Hans",1857,
1921,"Hansson, Gustaf Wilhelm",1878,Gårda
1921,"Hansson, Nils",1867,
1921,"Hansson, Per Albin",1885,Stockholm
1921,"Hansson, Sigfrid",1884,
1921,"Hasselrot, Bror Carl",1882,
1921,Fredrik Wilhelm,1861,Stockholm
1921,"Hedlund, Paulus Samuel",1878,Östersund
1921,"Hedlund, Verner Vilhelm",1883,Östersund
1921,"Hedström, August Helmer",1873,Gäddvik
1921,"Hedvall, Jakob Julius",1886,Göteborg
1921,"Hegardt, Ingeborg",1880,
1921,"Heiding, Gustaf Arthur",1883,
1921,"Hellberg, Johan Adolf",1871,Torshälla
1921,"Hellberg, Karl Mauritz",1859,Karlstad
1921,"Henrikson, Anders",1869,Heberg
1921,"Hellström, Paul",1866,Stockholm
1921,"Herou, Johan Viktor",1889,Österfärnebo
1921,"Heyman, Knut Aron",1870,Vårgårda
1921,"Holmberg, Gustav Anton",1877,
1921,"Hilding, Anders",1869,Sevalbo
1921,"Holmgren, Björn Fritiofsson",1872,Karlskrona
1921,"Holmdahl, Otto Samuel",1881,Stockholm
1921,"Holmner, Fredrik Emanuel",1872,Gunnarn
1921,"Holmgren, Israel Fritiofsson",1871,Stockholm
1921,"Holmström, Karl Wiktor",1868,Stockholm
1921,"Holmström, Nils",1884,Gävle
1921,"Hällgren, Elof Wendel",1887,Hällevik
1921,"Hult, Adam",1870,
1921,"Hultman, Axel Emil",1880,Stenshammar
1921,"Igel, Johan Peter",1855,Getebol
1921,Carl Johan,1880,Varpnäs
1921,"Ingmansson, John",1845,Stockholm
1921,"Isacsson, Ola",1885,
1921,"Isaksson, Anders Viktor",1855,Västervik
1921,"Jansson, Carl Petter",1855,Edsbäcken
1921,"Jansson, Carl Robert",1868,Falun
1921,"Jansson, Johan Ivar",1893,Talby
1921,"Jeansson, John",1865,
1921,"Jensen, Martin Christian",1881,Lund
1921,"Jeppsson, Ola",1887,
1921,Jöns Peter,1861,Dorisborg
1921,"Johanson, Carl",1851,Gäre
1921,"Johanson, Carl Johan",1871,Hörninge
1921,"Johanson, Carl Oskar",1870,Huskvarna
1921,"Johanson, Gustav Albert",1887,Hallagården
1921,"Johansson, Anders Johan",1863,Bro
1921,"Johansson, August Wilhelm",1864,Lövholmen
1921,"Johansson, Carl",1856,Hälsingborg
1921,"Johansson, Carl Johan",1867,Uppmälby
1921,"Johansson, Carl Oscar",1875,Sollefteå
1921,"Johansson, Emil Gereon",1885,
1921,"Johansson, Erik Gustaf",1864,
1921,"Johansson, Johan",1870,Tväråselet
1921,"Johansson, Johan Bernhard",1877,Fredrikslund
1921,"Johansson, Johan Lennart",1884,Fårekulla
1921,"Johansson, Johan Peter",1874,
1921,"Johansson, Johan Otto",1869,Väby
1921,"Johansson, Karl",1880,
1921,"Johansson, Nils",1864,Brånalt
1921,"Johansson, Olof",1867,Edsbyn
1921,"Johansson, Sven Albert",1875,Krogstorp
1921,"Johnsson, Gustaf Leonard",1887,Kalmar
1921,"Jonsson, Carl Johan",1855,Mörkhult
1921,"Jonsson, Johan August",1851,Hökhult
1921,"Johnsson, Johan Georg",1877,Norrahammar
1921,"Jonsson, Johan Oskar",1869,Remröd
1921,"Jonsson, Oscar Magnus",1880,Risinge
1921,"Jonsson, Per Conrad",1886,Eskilstuna
1921,"Jonsson, Per Ewert",1869,Lycksele
1921,"Julin, Fredrik",1873,
1921,"Julin, Johan Hjalmar",1880,
1921,"Jönsson, Ernst Bruno",1866,Långenäs
1921,"Jönsson, Johan",1875,Revinge
1921,"Järte, Otto Edvard",1881,Stockholm
1921,"Jönsson, John",1862,Boa
1921,"Jönsson, Jöns",1867,
1921,"Jönsson, Swen",1877,Fridhill
1921,"Kaijser, Fritz Richard",1868,Härnösand
1921,"Kant, Karl Gustaf",1872,Uppsala
1921,"Karlfeldt, Erik Axel",1864,
1921,"Karlsson, Gottfrid",1872,Gillberga
1921,"Karlsson, John Otto",1855,Västerås
1921,"Karlsson, Karl Gustaf",1889,
1921,"Karlsson, Karl Verner",1880,Grängesberg
1921,"Karlsson, Oscar Gottfrid",1882,Vadstena
1921,"Karlsson, Sven Johan",1874,Nynäshamn
1921,"Kilbom, Karl",1885,
1921,"Kinmansson, Henrik Selfrid",1874,Stockholm
1921,Johan Fredrik,1881,Algabäck
1921,"Klefbeck, Ernst Alarik",1866,Stockholm
1921,"Kloo, Karl Oskar",1867,Karlskrona
1921,"Knutsson, Carl Konstantin",1878,Linköping
1921,"Kobb, Gustaf",1863,
1921,"Koch, Richert Gerhard",1872,Djursholm
1921,"Kristensson, Emil",1879,
1921,"Kropp, Martin",1878,Åstorp
1921,"Krusenstjerna, Adolf Wilhelm",1851,
1921,"Kvarnzelius, Svante Herman",1864,
1921,"Källman, Gustaf Wilhelm",1877,Sundbyberg
1921,"Lagerbjelke, Johan Gustaf",1860,
1921,"Lagerkwist, Frans Sigurd",1887,Ånge
1921,"Lagerqvist, Frans Axel",1865,Klappa
1921,"Lagerfelt, Israöl Christian",1874,Malmslätt
1921,Charles Laurentius,1865,
1921,"Lamm, Herman Fredrik",1853,Stockholm
1921,Gustaf Anton,1870,Halmstad
1921,"Larson, Carl",1871,Larson
1921,"Larson, Viktor Edward",1867,Lerdala
1921,"Larsson, Carl Otto",1871,Sjötorp
1921,"Larsson, Curt Lauritz",1887,Göteborg
1921,"Larsson, Jacob Timoteus",1851,
1921,"Larsson, Johan",1877,
1921,"Larsson, Johan August",1875,
1921,"Larsson, Per Adolf",1872,Ojersbyn
1921,"Larsson, Svening Alfred",1856,Kroken
1921,"Larsson, Viktor",1869,Västerås
1921,"Laurin, Harald",1875,
1921,"Leander, Urik",1858,Karlskrona
1921,"Leffler, Justus Edvin",1875,Kinna
1921,"Leo, Henning",1885,
1921,"Levinson, Karl Samuel",1885,
1921,"Lilliecreutz, Samuel Henrik",1866,Jönköping
1921,"Lilienberg, Berndt Nils",1872,
1921,"Lind, Olof",1861,Nås
1921,"Lindberg, Elof Herman",1891,Umeå
1921,"Lindblad, Anders Christenson",1866,Göteborg
1921,"Linder, Fredrik William",1876,
1921,"Linders, Sven",1873,Nevitshög
1921,"Lindgren, Anders",1875,
1921,"Lindhagen, Carl Albert",1860,Appelviken
1921,"Lindley, Charles Gustaf",1865,
1921,"Lindley, Ernst Isidor",1878,Söderhamn
1921,"Lindman, Ernst Arnold",1877,
1921,"Lindman, Salomon Arvid",1862,
1921,"Lindmark, Ewald Eugen",1885,Drängsmark
1921,"Lindqvist, August Herman",1863,Stockholm
1921,"Lindqvist, Axel Albert",1878,Halmstad
1921,"Lindqvist, Fritz Leander",1865,Stockholm
1921,"Lindskog, Claes",1870,
1921,"Lindskog, Carl Johan",1879,Billinge
1921,"Lindstedt, Gustaf Ferdinand",1883,
1921,"Lindstrand, Nils",1869,Valdemarsvik
1921,"Lindström, Alfred",1879,Långnäs
1921,"Lindström, Per Elof",1863,
1921,"Lithander, Olof Axel",1870,Göteborg
1921,"Ljungberg, Axel Emil",1882,Lysekil
1921,"Ljung, Erik Walfrid",1878,
1921,"Ljunggren, August",1874,
1921,"Ljungkvist, Sven Edvin",1880,Borås
1921,"Ljunglund, Leonard Kristian",1867,Stockholm
1921,"Lorichs, Lorentz Ludvig",1867,Bernshammar
1921,Carl Olof Nilsson,1874,Malmö
1921,"Lundberg, Måns Bengtsson",1867,Malmö
1921,"Lundbom, Johan Erik",1876,Stordalen
1921,"Lundell, Ernst August",1857,Torestorp
1921,August Wilhelm,1869,Mosseberg
1921,"Lundgren, Ernst",1873,Röhammar
1921,"Lundkvist, Bror Karl",1878,Eskilstuna
1921,"Lundquist, Carl Oscar",1860,Baggarbo
1921,"Lundquist, Ragnar",1885,Rotebro
1921,"Lundstedt, Anders Vilhelm",1882,Uppsala
1921,"Lundström, Adolf Linus",1870,Långnäs
1921,"Lundström, Gustaf Harald",1890,Boden
1921,"Lundvik, Vilhelm Göran",1883,
1921,"Luterkort, Salli",1884,Sundsvall
1921,"Liibeck, Sven Edvard",1877,
1921,"Lybeck, Otto Emil",1871,
1921,"Lyberg, Ernst Emil",1874,
1921,"Löfgren, Jonas Eliel",1872,Stockolm
1921,"Löfvander, Axel",1880,Kvarnby
1921,"Lövgren, Oscar Wilhelm",1888,Nyborg
1921,"Magnuson, Paul",1876,Stockholm
1921,"Magnusson, Ernst Otto",1864,Tumhult
1921,"Magnusson, Karl Ernst",1873,Kalmar
1921,"Magnusson, Karl Hilding",1877,Skövde
1921,"Malm, Carl Gösta",1873,Bit
1921,Gustaf Henrik,1869,Västervik
1921,"Malmroth, Carl Anders",1874,
1921,Karl Frithiof,1869,Åmål
1921,"Meurling, Carl Henrik",1876,
1921,"Modig, Axel",1859,Eskilstuna
1921,"Mogård, Johan Adolf",1892,Karlskoga
1921,"Molander, Helmer",1892,Säbrå
1921,"Molin, Carl August",1875,Aspa
1921,"Moll, Victor Ludvig",1858,
1921,"Montelius, Gustaf Oscar",1843,
1921,"Morfeldt, Hans",1879,
1921,"Mosesson, Gustav Adolf",1877,Lidingö
1921,"Murray, Walter",1871,
1921,"Månsson, Karl Fabian",1872,Hagaström
1921,"Månsson, Nils",1869,Erlandsro
1921,"Månsson, Per August",1857,Backa
1921,"Mårtensson, Johannes Victor",1885,Uddevalla
1921,"Möller, Fritz Gustav",1884,Stockholm
1921,"Nilson, Erik Agabus",1862,Örebro
1921,"Nilson, Karl August",1864,Kristinehamn
1921,"Nilsson, Alexander",1876,
1921,"Nilsson, Carl Petrus",1881,
1921,"Nilsson, Erik Gustaf",1860,Vibberbo
1921,"Nilsson, Gustaf",1880,Kristianstad
1921,"Nilsson, Janne",1882,
1921,"Nilsson, Johan",1873,
1921,"Nilsson, Nils Anton",1874,Ostrabo
1921,"Nilsson, Nils August",1867,Kabbarp
1921,"Nilsson, Nils Erik",1866,Antnäs
1921,"Nilsson, Olof",1874,Orebro
1921,"Nilsson, Per",1865,Bonarp
1921,"Norberg, Rudolf Emil",1856,
1921,"Nordborg, Oskar Anshelm",1875,Göteborg
1921,"Nordgren, Olivia Louise",1880,Trälleborg
1921,"Nordkvist, Erik Bernhard",1889,Skara
1921,"Norin, Per",1863,Norråsen
1921,"Norling, Herman",1889,Lesjöfors
1921,"Norling, Nils Sigfrid",1880,Gävle
1921,"Norman, David",1887,Fagersta
1921,"Norman, Johannes David",1879,
1921,"Norsell, Anders",1874,
1921,"Nothin, Torsten Karl",1884,Stockholm
1921,"Nygren, Erik Vilhelm",1897,Stockholm
1921,"Nylander, Karl Axel",1888,Borås
1921,"Näslund, Per Johan",1886,Åsele
1921,Olauson Knut Arvid,1859,
1921,"Olofsson, Johan",1860,Digernäs
1921,"Olovson, Oskar Emil",1883,Västerås
1921,"Olsson, Anders",1885,Mora
1921,"Olsson, Anders Gustaf",1879,Torsby
1921,"Olsson, Carl Gustaf",1885,Golvvasta
1921,"Olsson, Carl Petrus",1881,Mellerud
1921,"Olsson, Cornelius",1857,Berg
1921,"Olsson, Erik Gustaf",1876,Broddby
1921,"Olsson, Gustaf",1867,Ramsta
1921,"Olsson, Gustav Adolv",1886,Gävle
1921,"Olsson, John Rikard",1878,Osterbo
1921,"Olsson, Karl Olof",1880,Oljersjö
1921,"Olsson, Lars",1869,Hov
1921,"Olsson, Nils",1873,Rödningsberg
1921,"Olsson, Nils Olof",1868,Rösta
1921,"Olsson, Olof",1859,
1921,"Olsson, Oscar Nathanael",1856,Broberg
1921,"Olsson, Oscar Ulrik",1877,
1921,"Olsson, Per Edvard",1877,Högby
1921,"Olsson, Per Valerius",1862,Kalmar
1921,"Olsson, Peter Magnus",1857,Blädinge
1921,"Olsson, Sven August",1870,
1921,"Olsson, Ählmans Olof",1866,Insjön
1921,"Osberg, Oscar",1872,Åseby
1921,"Palme, Sven Theodor",1854,
1921,"Pauli, Ivan Hjalmar",1885,
1921,"Paulsen, Anders",1876,Arlöv
1921,"Pehrsson, Axel Alarik",1883,Bramstorp
1921,"Pehrsson, Per",1867,Göteborg
1921,"Pers, Anders",1860,Västerås
1921,"Persson, Alfred",1862,Björsbyholm
1921,"Persson, Gunnar",1885,Falla
1921,"Persson, Johan Albert",1887,Tidaholm
1921,"Persson, Nils",1865,Malmö
1921,"Persson, Per",1869,Trången
1921,"Persson, Per Johan",1867,Tofta
1921,"Persson, Swen",1875,Fritorp
1921,"Petersson, Anders Birger",1885,Lerbacksbyn
1921,"Petersson, Martin Lucas",1870,Broaryd
1921,Bror August,1870,Ystad
1921,Daniel Alfred,1867,
1921,"Pettersson, Alfred",1865,Vråtsered
1921,"Pettersson, Anton",1879,Västerås
1921,"Pettersson, August Wilhelm",1871,Köping
1921,"Pettersson, David Hjalmar",1866,Bjälbo
1921,"Pettersson, Gustaf Kristoffer",1885,Hällbacken
1921,"Pettersson, Ivar Jonas",1876,Stäringe
1921,"Pettersson, Jakob Gustav",1866,Södertälje
1921,"Petterson, Olaus",1857,
1921,"Pettersson, Salomon Malkolm",1862,Smålandsstenar
1921,"Philipson, Sten Isak",1861,
1921,"Poppius, Daniel",1882,
1921,"Prytz, Björn Gustaf",1887,Göteborg
1921,"Pålsson, Jöns",1870,Anderslöv
1921,"Rehn, Johan",1865,
1921,August Axel,1870,
1921,"Ribbing, Sigurd",1879,
1921,"Rogberg, Axel Herman",1865,Ånäset
1921,"Romanus, Carl Bernhard",1876,Stockholm
1921,"Roos, Gustaf Wilhelm",1859,
1921,"Rooth, Axel Rudolf",1858,Ljungby
1921,"Rooth, Ivar",1888,
1921,"Ros, Carl Axel",1866,Årås
1921,"Rosander, Per Gustaf",1882,Målerås
1921,"Rosen, Gustaf Fredrik",1855,
1921,Ernst Johan Gustaf,1876,Umeå
1921,"Roth, Johan Gustaf",1876,
1921,Per Emanuel,1874,Backe
1921,"Rune, Axel Olof",1866,Västervik
1921,"Ryberg, Karl Arthur",1882,
1921,Klas Värner,1878,
1921,"Rydström, Eric",1881,Vråen
1921,Erik Petter Waldemar,1866,Göteborg
1921,"Samuelson, John Arthur",1881,
1921,"Samuelson, Per Oskar",1885,Stockholm
1921,"Samuelsson, Bengt Robert",1886,Ladeå
1921,"Sandberg, Olov Evert",1886,Böle
1921,"Sandegård, Karl Johan",1880,
1921,John Erik,1887,Karlstad
1921,"Sandler, Rickard Johan",1884,Stockholm
1921,"Sandström, Nils Victor",1874,Nyland
1921,"Sandwall, Fredrik Vilhelm",1877,Stockholm
1921,"Schedin, Carl Gustaf",1868,Milsbo
1921,"Schill, Lars August",1873,Västermo
1921,"Schotte, Per Axel",1860,
1921,"Sederholm, Gustaf Robert",1868,Nyköping
1921,"Sehlin, Carl Johan",1873,Östersund
1921,"Selberg, Gustaf Reinhold",1884,Svartbyn
1921,Otto Baltzar Arvid,1871,Koberg
1921,"Sjöblom, Per Henning",1875,
1921,"Sjögren, Carl",1869,Motala
1921,"Sjölander, Oskar Efraim",1880,Kungsängen
1921,"Sjöström, Algot Natanael",1879,Göteborg
1921,"Skoglund, Johan Martin",1892,Doverstorp
1921,"Sköld, Per Edvin",1891,
1921,"Smedh, Herman Daniel",1891,Bergkarlås
1921,"Sneidern, Axel Wilhelm",1875,
1921,"Sommelius, Malte",1851,Hälsingborg
1921,"Spens, Jakob Wilhelm",1861,
1921,"Spångberg, August Konrad",1893,Charlottenberg
1921,"Starbäck, Karl",1863,Stockholm
1921,Johan Algot,1868,Skellefteå
1921,"Stjernberg, Nils Fredrik",1873,
1921,"Stjernstedt, Johan Lars",1865,Änhammar
1921,"Strid, Carl Oskar",1875,
1921,"Stridsberg, Erik Rudolf",1884,
1921,"Strindlund, Gerhard",1890,Skedom
1921,"Strutz, Frans Oskar",1864,Katrineholm
1921,"Ström, Johan Albin",1892,Göteborg
1921,"Ström, Otto Fredrik",1880,Äppelviken
1921,"Ström, Torsten Emanuel",1885,Lidköping
1921,"Strömberg, Gustaf Alfred",1880,Karlstad
1921,"Sundberg, Axel Ludvig",1869,Lysekil
1921,"Sundling, Carl Axel",1871,Söderby
1921,"Sundström, Fredrik",1886,Vikmanshyttan
1921,"Swartz, Carl Johan",1858,Stockholm
1921,"Svedberg, Jonas Nikolaus",1881,
1921,"Svedman, Gustaf Adolf",1878,Visby
1921,"Svensson, Carl Alfred",1861,Skönsberg
1921,"Svenson, Ernst Wilhelm",1880,Eskhult
1921,"Svensson, Carl Emil",1879,
1921,"Svensson, Gustaf Hjalmar",1861,Grönvik
1921,"Svensson, Isak",1864,
1921,"Svensson, Johan August",1859,Högsjöhult
1921,"Svensson, Johan Gustaf",1864,Betingetorp
1921,"Svensson, Nils",1861,Långelanda
1921,"Svensson, Nils Johan",1871,Kompersmåla
1921,"Svänsson, Edvard Elieser",1865,Kalmar
1921,"Svärd, Gottfrid",1880,Holsbybrunn
1921,"Sydow, Adolf Hjalmar",1862,Stockholm
1921,"Sydow, Oscar Fredrik",1873,
1921,"Säve, Teofron Adolf",1842,
1921,"Sävström, August Vilhelm",1879,Bollnäs
1921,"Söderberg, Karl Johan",1877,
1921,"Söderhielm, Knut Erik",1871,
1921,Ludvig Hugos,1876,Fagersta
1921,"Tamm, Elisabeth",1880,Fogelstad
1921,"Tamm, Henric Sebastian",1869,
1921,"Tengdahl, Knut Abel",1867,Appelviken
1921,Hjalmar Gus,1878,Kristianstad
1921,"Thelin, Arvid",1876,
1921,"Thomson, Arthur Natanael",1891,
1921,"Thorberg, Johan Arvid",1877,Stockholm
1921,"Thore, Alexander",1866,Göteborg
1921,Carl August,1874,Växjö
1921,"Thorsell, Johan August",1867,Getingeberg
1921,"Thorsson, Fredrik Vilhelm",1865,Ystad
1921,Ossian Jöns,1883,
1921,Johan Carl Wilhelm,1861,
1921,"Thiiring, Nelly",1875,Göteborg
1921,"Tjällgren, Olof Leonard",1878,Multrå
1921,"Träff, Johan Axel",1875,Mjölby
1921,"Törnkvist, Algot Äkesson",1879,Karlskrona
1921,"Törnkvist, Nils Kortz",1868,Bjuv
1921,"Uddenberg, Edvard Jansson",1870,Karlskoga
1921,"Uddenberg, Erik Amund",1880,Varberg
1921,"Wachtmeister, Axel Hans",1886,Vambåsa
1921,"Wachtmeister, Axel Hansson",1855,Karlskrona
1921,"Wagnsson, Ruben",1891,Oskarshamn
1921,"Wahl, Gustaf Adolf",1878,Stockholm
1921,"Wahlmark, Carl Primus",1883,Uppsala
1921,"Vahlstedt, Carl Otto",1874,
1921,"Wahren, Carl",1866,
1921,"Waldem, Sten Ragnar",1877,Olvingstorp
1921,Ola Hansson,1869,Landskrona
1921,"Wallerius, Anders Teodor",1874,Hjärtum
1921,"Walles, Janne Gustaf",1871,Sundsvall
1921,"Ward, Karl Selim",1888,Norrköping
1921,"Wavrinsky, Edvard Otto",1848,
1921,"Weibull, Harry Walfrid",1875,Weibullsholm
1921,"Weijne, Johan Josef",1893,Borås
1921,"Wellin, Bertha",1870,Stockholm
1921,"Vennersten, Axel Fredrik",1863,Stockholm
1921,"Vennerström, Ivar Teodor",1881,Sollefteå
1921,"Werner, Alfred",1885,Hultsfred
1921,"Wessman, Signe Augusta",1879,Stockholm
1921,"Westman, Karl Allan",1883,Brobygård
1921,"Westman, Karl Gustaf",1876,Uppsala
1921,"Wickman, Carl Gustaf",1856,Stockholm
1921,"Widell, Jakob Ludvig",1870,Stockholm
1921,"Wigforss, Ernst Johannes",1881,Göteborg
1921,"Wijk, Hjalmar",1877,
1921,"Wijkström, Uno Andreas",1872,Marieholm
